columnas,genero,indice_gap,min,max,estado,total
_65_Y_MAS_MUJERES,2,65,65,100,6,44072.0
_65_Y_MAS_NOBINARIO,9,65,65,100,6,0.0
_18_HOMBRES,1,18,18,18,7,27717.0
_18_MUJERES,2,18,18,18,7,28892.0
_18_NOBINARIO,9,18,18,18,7,0.0
_19_HOMBRES,1,19,19,19,7,46837.0
_19_MUJERES,2,19,19,19,7,49460.0
_19_NOBINARIO,9,19,19,19,7,0.0
_20_24_HOMBRES,1,2024,20,24,7,267230.0
_20_24_MUJERES,2,2024,20,24,7,277663.0
_20_24_NOBINARIO,9,2024,20,24,7,0.0
_25_29_HOMBRES,1,2529,25,29,7,255173.0
_25_29_MUJERES,2,2529,25,29,7,265867.0
_25_29_NOBINARIO,9,2529,25,29,7,0.0
_30_34_HOMBRES,1,3034,30,34,7,229591.0
_30_34_MUJERES,2,3034,30,34,7,253777.0
_30_34_NOBINARIO,9,3034,30,34,7,0.0
_35_39_HOMBRES,1,3539,35,39,7,205183.0
_35_39_MUJERES,2,3539,35,39,7,226718.0
_35_39_NOBINARIO,9,3539,35,39,7,0.0
_40_44_HOMBRES,1,4044,40,44,7,185697.0
_40_44_MUJERES,2,4044,40,44,7,205953.0
_40_44_NOBINARIO,9,4044,40,44,7,0.0
_45_49_HOMBRES,1,4549,45,49,7,164122.0
_45_49_MUJERES,2,4549,45,49,7,180698.0
_45_49_NOBINARIO,9,4549,45,49,7,0.0
_50_54_HOMBRES,1,5054,50,54,7,139640.0
_50_54_MUJERES,2,5054,50,54,7,155219.0
_50_54_NOBINARIO,9,5054,50,54,7,0.0
_55_59_HOMBRES,1,5559,55,59,7,113482.0
_55_59_MUJERES,2,5559,55,59,7,125788.0
_55_59_NOBINARIO,9,5559,55,59,7,0.0
_60_64_HOMBRES,1,6064,60,64,7,94869.0
_60_64_MUJERES,2,6064,60,64,7,102623.0
_60_64_NOBINARIO,9,6064,60,64,7,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,7,209920.0
_65_Y_MAS_MUJERES,2,65,65,100,7,222869.0
_65_Y_MAS_NOBINARIO,9,65,65,100,7,0.0
_18_HOMBRES,1,18,18,18,8,25183.0
_18_MUJERES,2,18,18,18,8,25922.0
_18_NOBINARIO,9,18,18,18,8,0.0
_19_HOMBRES,1,19,19,19,8,32662.0
_19_MUJERES,2,19,19,19,8,32897.0
_19_NOBINARIO,9,19,19,19,8,0.0
_20_24_HOMBRES,1,2024,20,24,8,177632.0
_20_24_MUJERES,2,2024,20,24,8,175328.0
_20_24_NOBINARIO,9,2024,20,24,8,2.0
_25_29_HOMBRES,1,2529,25,29,8,176517.0
_25_29_MUJERES,2,2529,25,29,8,173412.0
_25_29_NOBINARIO,9,2529,25,29,8,4.0
_30_34_HOMBRES,1,3034,30,34,8,169104.0
_30_34_MUJERES,2,3034,30,34,8,168989.0
_30_34_NOBINARIO,9,3034,30,34,8,1.0
_35_39_HOMBRES,1,3539,35,39,8,151128.0
_35_39_MUJERES,2,3539,35,39,8,152057.0
_35_39_NOBINARIO,9,3539,35,39,8,0.0
_40_44_HOMBRES,1,4044,40,44,8,142815.0
_40_44_MUJERES,2,4044,40,44,8,143277.0
_40_44_NOBINARIO,9,4044,40,44,8,0.0
_45_49_HOMBRES,1,4549,45,49,8,139466.0
_45_49_MUJERES,2,4549,45,49,8,142519.0
_45_49_NOBINARIO,9,4549,45,49,8,0.0
_50_54_HOMBRES,1,5054,50,54,8,137245.0
_50_54_MUJERES,2,5054,50,54,8,141971.0
_50_54_NOBINARIO,9,5054,50,54,8,0.0
_55_59_HOMBRES,1,5559,55,59,8,115700.0
_55_59_MUJERES,2,5559,55,59,8,123025.0
_55_59_NOBINARIO,9,5559,55,59,8,0.0
_60_64_HOMBRES,1,6064,60,64,8,93146.0
_60_64_MUJERES,2,6064,60,64,8,102535.0
_60_64_NOBINARIO,9,6064,60,64,8,0.0
_65_Y_MAS_HOMBRES,1,65,65,100,8,182344.0
_65_Y_MAS_MUJERES,2,65,65,100,8,216967.0
_65_Y_MAS_NOBINARIO,9,65,65,100,8,0.0
_18_HOMBRES,1,18,18,18,9,51150.0
_18_MUJERES,2,18,18,18,9,50944.0
_18_NOBINARIO,9,18,18,18,9,3.0
_19_HOMBRES,1,19,19,19,9,69042.0
_19_MUJERES,2,19,19,19,9,68023.0
_19_NOBINARIO,9,19,19,19,9,1.0
_20_24_HOMBRES,1,2024,20,24,9,375281.0
_20_24_MUJERES,2,2024,20,24,9,371655.0
_20_24_NOBINARIO,9,2024,20,24,9,8.0
_25_29_HOMBRES,1,2529,25,29,9,395219.0
_25_29_MUJERES,2,2529,25,29,9,394727.0
_25_29_NOBINARIO,9,2529,25,29,9,11.0
_30_34_HOMBRES,1,3034,30,34,9,409189.0
_30_34_MUJERES,2,3034,30,34,9,417328.0
_30_34_NOBINARIO,9,3034,30,34,9,5.0
_35_39_HOMBRES,1,3539,35,39,9,383016.0
_35_39_MUJERES,2,3539,35,39,9,401061.0
_35_39_NOBINARIO,9,3539,35,39,9,2.0
_40_44_HOMBRES,1,4044,40,44,9,362064.0
_40_44_MUJERES,2,4044,40,44,9,389229.0
_40_44_NOBINARIO,9,4044,40,44,9,0.0
_45_49_HOMBRES,1,4549,45,49,9,345436.0
_45_49_MUJERES,2,4549,45,49,9,384030.0
_45_49_NOBINARIO,9,4549,45,49,9,2.0
