N_estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
MEXICO,1.0,2.0,58.0,55473.06790370331,PAN-PRI-PRD,5,56090.33287995297
MEXICO,2.0,1.0,69.0,71587.03023786917,PAN-PRI-PRD,5,72383.59996421401
MEXICO,7.0,1.0,70.0,65350.16013977783,MORENA-PT-Partido Verde,5,66077.33039682248
CIUDAD DE MEXICO,7.0,1.0,23.0,65842.75249864484,MORENA-PT-Partido Verde,5,66575.40397427334
MEXICO,1.0,2.0,28.0,56822.619345309686,PAN-PRI-PRD,5,57454.90117334041
CIUDAD DE MEXICO,5.0,1.0,63.0,77858.93211268428,MORENA-PT-Partido Verde,5,78725.29111710761
MEXICO,6.0,1.0,70.0,65350.16013977783,Movimiento Ciudadano,5,66077.33039682248
MEXICO,7.0,2.0,19.0,70851.60035983725,MORENA-PT-Partido Verde,5,71639.98674382604
MEXICO,7.0,1.0,28.0,71102.69098119572,MORENA-PT-Partido Verde,5,71893.87132362752
MEXICO,1.0,2.0,19.0,77613.51535348102,PAN-PRI-PRD,5,78477.14353417735
MEXICO,6.0,1.0,28.0,71102.69098119572,Movimiento Ciudadano,5,71893.87132362752
MEXICO,7.0,1.0,79.0,71587.03023786917,MORENA-PT-Partido Verde,5,72383.59996421401
MEXICO,7.0,2.0,42.0,60526.413461235476,MORENA-PT-Partido Verde,5,61199.90848466706
MEXICO,2.0,2.0,56.0,60767.29086686028,PAN-PRI-PRD,5,61443.466203310076
MEXICO,7.0,2.0,53.0,60767.29086686028,MORENA-PT-Partido Verde,5,61443.466203310076
CIUDAD DE MEXICO,7.0,1.0,50.0,79431.77487644115,MORENA-PT-Partido Verde,5,80315.63536019316
MICHOACAN  DE OCAMPO,7.0,1.0,38.0,69603.2117980837,MORENA-PT-Partido Verde,5,70377.70699910675
CHIAPAS,1.0,1.0,50.0,81725.61119209354,PAN-PRI-PRD,5,82634.99586032654
MEXICO,99.0,1.0,72.0,65350.16013977783,NS,5,66077.33039682248
MEXICO,7.0,2.0,59.0,55473.06790370331,MORENA-PT-Partido Verde,5,56090.33287995297
MEXICO,3.0,2.0,64.0,75586.17417232522,PAN-PRI-PRD,5,76427.24353748589
CHIAPAS,7.0,2.0,36.0,67730.29187044091,MORENA-PT-Partido Verde,5,68483.94654617229
MICHOACAN  DE OCAMPO,7.0,2.0,68.0,88108.81984222484,MORENA-PT-Partido Verde,5,89089.23233142964
MICHOACAN  DE OCAMPO,7.0,2.0,20.0,82589.8513848035,MORENA-PT-Partido Verde,5,83508.8527052641
MICHOACAN  DE OCAMPO,7.0,1.0,50.0,77715.83195008623,MORENA-PT-Partido Verde,5,78580.59863734005
MICHOACAN  DE OCAMPO,99.0,2.0,45.0,64407.177923225,NS,5,65123.855342618874
NUEVO LEON,7.0,1.0,65.0,75277.40979533693,MORENA-PT-Partido Verde,5,76115.04344938534
NUEVO LEON,1.0,2.0,25.0,81614.56595569167,PAN-PRI-PRD,5,82522.714991251
NUEVO LEON,1.0,1.0,29.0,74768.10238890554,PAN-PRI-PRD,5,75600.06883116966
NUEVO LEON,1.0,1.0,73.0,75277.40979533693,PAN-PRI-PRD,5,76115.04344938534
NUEVO LEON,7.0,1.0,24.0,63659.643503971914,MORENA-PT-Partido Verde,5,64368.002890255615
CHIAPAS,99.0,2.0,85.0,92654.82942580651,NS,5,93685.8266871121
NUEVO LEON,1.0,1.0,36.0,68781.2827456899,PAN-PRI-PRD,5,69546.63210286156
NUEVO LEON,7.0,2.0,62.0,87068.36212584043,MORENA-PT-Partido Verde,5,88037.19713913012
NUEVO LEON,7.0,2.0,49.0,63899.90255968519,MORENA-PT-Partido Verde,5,64610.93537842762
NUEVO LEON,99.0,2.0,61.0,87068.36212584043,NS,5,88037.19713913012
CHIAPAS,7.0,1.0,36.0,73194.4171785298,MORENA-PT-Partido Verde,5,74008.87276731645
CHIAPAS,7.0,1.0,23.0,67744.1640815893,MORENA-PT-Partido Verde,5,68497.9731174527
CHIAPAS,99.0,1.0,18.0,67744.1640815893,NS,5,68497.9731174527
CHIAPAS,1.0,2.0,35.0,69654.1419197119,PAN-PRI-PRD,5,70429.20383502542
CHIAPAS,99.0,2.0,45.0,67730.29187044091,NS,5,68483.94654617229
CHIAPAS,1.0,1.0,29.0,79565.36225319986,PAN-PRI-PRD,5,80450.7092025839
CIUDAD DE MEXICO,7.0,2.0,24.0,84413.4112401941,MORENA-PT-Partido Verde,5,85352.70384205239
CIUDAD DE MEXICO,6.0,2.0,31.0,67699.12197014563,Movimiento Ciudadano,5,68452.42980932203
CHIAPAS,5.0,2.0,30.0,69654.1419197119,MORENA-PT-Partido Verde,5,70429.20383502542
CIUDAD DE MEXICO,1.0,1.0,19.0,65842.75249864484,PAN-PRI-PRD,5,66575.40397427334
CIUDAD DE MEXICO,99.0,1.0,26.0,77332.15879663048,NS,5,78192.65624100836
CIUDAD DE MEXICO,7.0,1.0,21.0,65842.75249864484,MORENA-PT-Partido Verde,5,66575.40397427334
MEXICO,1.0,2.0,52.0,67400.90585159809,PAN-PRI-PRD,5,68150.89535320477
MEXICO,99.0,2.0,42.0,67133.73324760844,NS,5,67880.74984186949
CIUDAD DE MEXICO,7.0,2.0,55.0,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893
CIUDAD DE MEXICO,1.0,2.0,20.0,84413.4112401941,PAN-PRI-PRD,5,85352.70384205239
CIUDAD DE MEXICO,7.0,2.0,31.0,67699.12197014563,MORENA-PT-Partido Verde,5,68452.42980932203
MEXICO,2.0,1.0,43.0,57582.88444088083,PAN-PRI-PRD,5,58223.625959963356
MEXICO,7.0,2.0,57.0,67400.90585159809,MORENA-PT-Partido Verde,5,68150.89535320477
CIUDAD DE MEXICO,7.0,2.0,51.0,66091.25086700125,MORENA-PT-Partido Verde,5,66826.66745631893
MEXICO,1.0,1.0,24.0,67147.48327432577,PAN-PRI-PRD,5,67894.65286913709
MEXICO,4.0,1.0,24.0,67147.48327432577,MORENA-PT-Partido Verde,5,67894.65286913709
MICHOACAN  DE OCAMPO,2.0,1.0,20.0,64420.369509248776,PAN-PRI-PRD,5,65137.19371526076
MICHOACAN  DE OCAMPO,1.0,1.0,37.0,69603.2117980837,PAN-PRI-PRD,5,70377.70699910675
MEXICO,1.0,2.0,50.0,67400.90585159809,PAN-PRI-PRD,5,68150.89535320477
MEXICO,7.0,1.0,28.0,78864.56204076714,MORENA-PT-Partido Verde,5,79742.11098216586
MICHOACAN  DE OCAMPO,7.0,2.0,22.0,82589.8513848035,MORENA-PT-Partido Verde,5,83508.8527052641
MEXICO,7.0,2.0,26.0,69040.63830366835,MORENA-PT-Partido Verde,5,69808.87358563895
MEXICO,7.0,2.0,53.0,53496.25011331257,MORENA-PT-Partido Verde,5,54091.518462504326
MEXICO,99.0,1.0,29.0,78864.56204076714,NS,5,79742.11098216586
NUEVO LEON,6.0,1.0,58.0,76798.10274678403,Movimiento Ciudadano,5,77652.65759401735
CIUDAD DE MEXICO,99.0,1.0,36.0,71140.03043515644,NS,5,71931.62626456298
MICHOACAN  DE OCAMPO,1.0,2.0,74.0,74399.76496045296,PAN-PRI-PRD,5,75227.63280491787
MEXICO,1.0,1.0,54.0,64294.47226359081,PAN-PRI-PRD,5,65009.89557429832
MEXICO,7.0,2.0,25.0,68326.75885815368,MORENA-PT-Partido Verde,5,69087.05059570474
MEXICO,7.0,2.0,26.0,54797.70943743509,MORENA-PT-Partido Verde,5,55407.45950341578
MEXICO,7.0,1.0,51.0,64294.47226359081,MORENA-PT-Partido Verde,5,65009.89557429832
NUEVO LEON,6.0,1.0,32.0,29906.12061585841,Movimiento Ciudadano,5,30238.89472641801
CHIAPAS,7.0,2.0,62.0,42397.419637759725,MORENA-PT-Partido Verde,5,42869.18806908533
PUEBLA,5.0,2.0,46.0,52171.574377951896,MORENA-PT-Partido Verde,5,52752.102674587964
MEXICO,99.0,2.0,72.0,72892.61314428173,NS,5,73703.71047171613
MEXICO,3.0,1.0,31.0,62594.979736606954,PAN-PRI-PRD,5,63291.49229919925
CHIAPAS,5.0,2.0,20.0,39741.72612063108,MORENA-PT-Partido Verde,5,40183.94387704859
NUEVO LEON,7.0,2.0,27.0,26180.804192357577,MORENA-PT-Partido Verde,5,26472.125622534215
CHIAPAS,7.0,1.0,20.0,30998.68372081232,MORENA-PT-Partido Verde,5,31343.61509911492
NUEVO LEON,7.0,1.0,42.0,27511.482466235342,MORENA-PT-Partido Verde,5,27817.61074096125
