estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
14.0,1.0,2.0,62.0,86644.57037793948,PAN-PRI-PRD,1,92199.91481746345
14.0,99.0,2.0,18.0,85372.26562510624,NR,1,90846.03436862062
14.0,98.0,1.0,35.0,82943.619842718,NS,1,88261.67237938973
14.0,6.0,2.0,64.0,174324.471707259,Movimiento Ciudadano,1,185501.54235747538
14.0,7.0,1.0,38.0,78527.23168365157,MORENA-PT-Partido Verde,1,83562.12097887343
14.0,7.0,1.0,20.0,72657.98242094199,MORENA-PT-Partido Verde,1,77316.55614193283
14.0,7.0,1.0,23.0,100441.22066699827,MORENA-PT-Partido Verde,1,106881.15769129769
14.0,7.0,2.0,69.0,59340.336843369405,MORENA-PT-Partido Verde,1,63145.03007324345
14.0,1.0,1.0,38.0,79367.23372669582,PAN-PRI-PRD,1,84455.98099199774
14.0,5.0,2.0,42.0,49688.84363355261,MORENA-PT-Partido Verde,1,52874.71713932412
14.0,7.0,1.0,36.0,78527.23168365157,MORENA-PT-Partido Verde,1,83562.12097887343
14.0,7.0,2.0,28.0,84468.7078950819,MORENA-PT-Partido Verde,1,89884.54370189425
14.0,98.0,1.0,53.0,147790.2792558302,NS,1,157266.07101633283
14.0,4.0,2.0,63.0,86644.57037793948,MORENA-PT-Partido Verde,1,92199.91481746345
14.0,97.0,2.0,41.0,80918.59087190602,Ninguno,1,86106.80568898603
14.0,4.0,2.0,25.0,61757.279868095604,MORENA-PT-Partido Verde,1,65716.938965242
14.0,96.0,2.0,61.0,62677.649968653444,Ninguno,1,66696.31995243863
14.0,6.0,2.0,18.0,84468.7078950819,Movimiento Ciudadano,1,89884.54370189425
14.0,7.0,1.0,56.0,194768.46027802012,MORENA-PT-Partido Verde,1,207256.32741245782
14.0,7.0,2.0,65.0,62677.649968653444,MORENA-PT-Partido Verde,1,66696.31995243863
14.0,1.0,2.0,32.0,84521.69826096325,PAN-PRI-PRD,1,89940.93162325039
14.0,7.0,2.0,85.0,62677.649968653444,MORENA-PT-Partido Verde,1,66696.31995243863
14.0,7.0,1.0,39.0,78527.23168365157,MORENA-PT-Partido Verde,1,83562.12097887343
14.0,6.0,2.0,59.0,119262.8296180902,Movimiento Ciudadano,1,126909.54186411735
14.0,7.0,1.0,28.0,100441.22066699827,MORENA-PT-Partido Verde,1,106881.15769129769
14.0,6.0,1.0,36.0,159682.84025095103,Movimiento Ciudadano,1,169921.14110241877
14.0,7.0,1.0,29.0,100441.22066699827,MORENA-PT-Partido Verde,1,106881.15769129769
14.0,2.0,2.0,52.0,132692.48439246436,PAN-PRI-PRD,1,141200.25876448647
14.0,7.0,2.0,39.0,71747.6103873006,MORENA-PT-Partido Verde,1,76347.81426246121
14.0,6.0,1.0,19.0,100441.22066699827,Movimiento Ciudadano,1,106881.15769129769
14.0,7.0,2.0,40.0,69423.81794461276,MORENA-PT-Partido Verde,1,73875.02843947517
14.0,6.0,1.0,25.0,238061.8261132219,Movimiento Ciudadano,1,253325.5112603957
14.0,7.0,1.0,56.0,47960.271457365976,MORENA-PT-Partido Verde,1,51035.315008237754
14.0,97.0,2.0,40.0,154754.7839017237,Ninguno,1,164677.1151509657
14.0,96.0,1.0,39.0,92508.3768756311,Ninguno,1,98439.6879184783
14.0,98.0,1.0,28.0,118323.9762321268,NS,1,125910.49250840665
14.0,6.0,2.0,50.0,59277.25770865782,Movimiento Ciudadano,1,63077.90652676155
14.0,7.0,1.0,31.0,79367.23372669582,MORENA-PT-Partido Verde,1,84455.98099199774
14.0,2.0,1.0,59.0,133391.23258327987,PAN-PRI-PRD,1,141943.80822628227
18.0,7.0,2.0,56.0,42880.46202501438,MORENA-PT-Partido Verde,1,45629.8061008843
18.0,6.0,1.0,49.0,163492.05734073094,Movimiento Ciudadano,1,173974.59176490083
18.0,2.0,2.0,22.0,85372.26562510624,PAN-PRI-PRD,1,90846.03436862062
18.0,4.0,1.0,58.0,157140.4740896789,MORENA-PT-Partido Verde,1,167215.76738446247
18.0,98.0,1.0,68.0,64638.76826417931,NS,1,68783.17824033536
18.0,7.0,1.0,41.0,63405.43733492907,MORENA-PT-Partido Verde,1,67470.77047926499
18.0,7.0,1.0,40.0,87650.65187124659,MORENA-PT-Partido Verde,1,93270.50270978866
18.0,7.0,1.0,23.0,73435.20138522352,MORENA-PT-Partido Verde,1,78143.60764658799
18.0,7.0,1.0,40.0,88588.24670385972,MORENA-PT-Partido Verde,1,94268.21281814456
18.0,7.0,1.0,48.0,87650.65187124659,MORENA-PT-Partido Verde,1,93270.50270978866
25.0,4.0,2.0,37.0,52456.55302386358,MORENA-PT-Partido Verde,1,55819.88229985374
25.0,7.0,1.0,32.0,92508.3768756311,MORENA-PT-Partido Verde,1,98439.6879184783
25.0,7.0,2.0,73.0,59340.336843369405,MORENA-PT-Partido Verde,1,63145.03007324345
25.0,7.0,1.0,24.0,220706.0631487695,MORENA-PT-Partido Verde,1,234856.95795192404
25.0,2.0,2.0,55.0,110568.04038994692,PAN-PRI-PRD,1,117657.27339889431
25.0,7.0,2.0,53.0,50514.985140333905,MORENA-PT-Partido Verde,1,53753.82792745724
25.0,7.0,1.0,23.0,101515.63560252058,MORENA-PT-Partido Verde,1,108024.46032528464
25.0,7.0,2.0,67.0,42926.092719569526,MORENA-PT-Partido Verde,1,45678.362474730864
25.0,5.0,2.0,32.0,84521.69826096325,MORENA-PT-Partido Verde,1,89940.93162325039
25.0,7.0,2.0,63.0,50568.74001489781,MORENA-PT-Partido Verde,1,53811.02937509784
25.0,2.0,2.0,30.0,52456.55302386358,PAN-PRI-PRD,1,55819.88229985374
25.0,1.0,2.0,20.0,85372.26562510624,PAN-PRI-PRD,1,90846.03436862062
25.0,7.0,1.0,53.0,56499.21399125622,MORENA-PT-Partido Verde,1,60121.74443851566
25.0,7.0,2.0,51.0,59277.25770865782,MORENA-PT-Partido Verde,1,63077.90652676155
25.0,7.0,2.0,26.0,85372.26562510624,MORENA-PT-Partido Verde,1,90846.03436862062
25.0,7.0,2.0,52.0,69831.09908111095,MORENA-PT-Partido Verde,1,74308.42300682192
25.0,7.0,1.0,44.0,127981.29364813492,MORENA-PT-Partido Verde,1,136187.00307608856
25.0,7.0,1.0,69.0,64638.76826417931,MORENA-PT-Partido Verde,1,68783.17824033536
25.0,7.0,2.0,48.0,68689.05441347824,MORENA-PT-Partido Verde,1,73093.15446068942
25.0,7.0,2.0,34.0,51901.366586815275,MORENA-PT-Partido Verde,1,55229.09926543643
25.0,7.0,2.0,29.0,61103.656970758726,MORENA-PT-Partido Verde,1,65021.4080716807
25.0,96.0,2.0,52.0,86552.46667887685,Ninguno,1,92101.9057538729
25.0,7.0,1.0,35.0,78527.23168365157,MORENA-PT-Partido Verde,1,83562.12097887343
25.0,7.0,2.0,47.0,50220.36281834746,MORENA-PT-Partido Verde,1,53440.315460698104
25.0,7.0,2.0,28.0,169946.74698455245,MORENA-PT-Partido Verde,1,180843.13335657373
25.0,7.0,2.0,19.0,85372.26562510624,MORENA-PT-Partido Verde,1,90846.03436862062
25.0,7.0,2.0,37.0,52456.55302386358,MORENA-PT-Partido Verde,1,55819.88229985374
25.0,2.0,2.0,25.0,61103.656970758726,PAN-PRI-PRD,1,65021.4080716807
25.0,7.0,2.0,49.0,68689.05441347824,MORENA-PT-Partido Verde,1,73093.15446068942
25.0,7.0,1.0,29.0,73435.20138522352,MORENA-PT-Partido Verde,1,78143.60764658799
26.0,7.0,2.0,32.0,170053.36090735852,MORENA-PT-Partido Verde,1,180956.58298830714
26.0,7.0,2.0,34.0,52456.55302386358,MORENA-PT-Partido Verde,1,55819.88229985374
26.0,7.0,2.0,27.0,84468.7078950819,MORENA-PT-Partido Verde,1,89884.54370189425
26.0,1.0,2.0,23.0,84468.7078950819,PAN-PRI-PRD,1,89884.54370189425
