estado,voto,genero,edad,ponderado,homo_pon,partido,rango_edad,total
NA,NA,Hombres,55,22251.938209044572,27444.827318729927,MORENA-PT-Partido Verde,55-59,-27444.827318729927
NA,NA,Hombres,55,20201.581045496892,24915.982515789812,MORENA-PT-Partido Verde,55-59,-24915.982515789812
NA,NA,Mujeres,69,3409.314818457186,4204.939614191121,MORENA-PT-Partido Verde,65-100,4204.939614191121
NA,NA,Hombres,51,6107.36232630384,7532.624926587124,MORENA-PT-Partido Verde,50-54,-7532.624926587124
NA,NA,Hombres,74,56011.30732048076,69082.55105086019,Movimiento Ciudadano,65-100,-69082.55105086019
NA,NA,Mujeres,43,11110.074862944395,13702.810211280152,MORENA-PT-Partido Verde,40-44,13702.810211280152
NA,NA,Hombres,60,15147.212223728196,18682.086024821157,MORENA-PT-Partido Verde,60-64,-18682.086024821157
NA,NA,Hombres,60,31454.70408264229,38795.22375983323,MORENA-PT-Partido Verde,60-64,-38795.22375983323
NA,NA,Hombres,35,48890.6870935865,60300.20630886661,MORENA-PT-Partido Verde,35-39,-60300.20630886661
NA,NA,Mujeres,25,17666.449513823598,21789.232546263076,MORENA-PT-Partido Verde,25-29,21789.232546263076
NA,NA,Mujeres,49,78453.97642846001,96762.6197466078,MORENA-PT-Partido Verde,45-49,96762.6197466078
NA,NA,Hombres,35,17181.675145697984,21191.32737967646,MORENA-PT-Partido Verde,35-39,-21191.32737967646
NA,NA,Hombres,55,1160.2796351858956,1431.0517101909177,MORENA-PT-Partido Verde,55-59,-1431.0517101909177
NA,NA,Hombres,33,6786.8411537585935,8370.672332212627,MORENA-PT-Partido Verde,30-34,-8370.672332212627
NA,NA,Hombres,70,46379.39692428004,57202.86151146708,MORENA-PT-Partido Verde,65-100,-57202.86151146708
NA,NA,Mujeres,32,23348.640877918908,28797.46523658161,MORENA-PT-Partido Verde,30-34,28797.46523658161
NA,NA,Hombres,76,35555.41840973764,43852.91336571345,MORENA-PT-Partido Verde,65-100,-43852.91336571345
NA,NA,Hombres,54,43629.69313130524,53811.46499279545,PAN-PRI-PRD,50-54,-53811.46499279545
NA,NA,Mujeres,63,70173.07656637984,86549.2232944233,PAN-PRI-PRD,60-64,86549.2232944233
NA,NA,Hombres,68,50130.43793666184,61829.27525948156,PAN-PRI-PRD,65-100,-61829.27525948156
NA,NA,Hombres,66,30580.520795858392,37717.03411516883,MORENA-PT-Partido Verde,65-100,-37717.03411516883
NA,NA,Hombres,59,52705.30507227986,65005.033849220315,MORENA-PT-Partido Verde,55-59,-65005.033849220315
NA,NA,Hombres,26,2932.4875711205163,3616.836171646907,MORENA-PT-Partido Verde,25-29,-3616.836171646907
NA,NA,Hombres,56,17896.91601670299,22073.482543492784,PAN-PRI-PRD,55-59,-22073.482543492784
NA,NA,Hombres,67,2932.4875711205163,3616.836171646907,MORENA-PT-Partido Verde,65-100,-3616.836171646907
NA,NA,Hombres,56,42024.374731938464,51831.51673622995,MORENA-PT-Partido Verde,55-59,-51831.51673622995
