estado,columnas,total,digitos,min,max,genero,rango_edad,N_estado
11,LISTA_60_64_HOMBRES,-127134,6064,60,64,Hombres,60-64,GUANAJUATO
11,LISTA_60_64_MUJERES,146624,6064,60,64,Mujeres,60-64,GUANAJUATO
11,LISTA_60_64_NOBINARIO,0,6064,60,64,No binario,60-64,GUANAJUATO
11,LISTA_65_Y_MAS_HOMBRES,-279356,65,65,100,Hombres,65-100,GUANAJUATO
11,LISTA_65_Y_MAS_MUJERES,331836,65,65,100,Mujeres,65-100,GUANAJUATO
11,LISTA_65_Y_MAS_NOBINARIO,0,65,65,100,No binario,65-100,GUANAJUATO
12,LISTA_18_HOMBRES,-16186,18,18,18,Hombres,18-18,GUERRERO
12,LISTA_18_MUJERES,17732,18,18,18,Mujeres,18-18,GUERRERO
12,LISTA_18_NOBINARIO,0,18,18,18,No binario,18-18,GUERRERO
12,LISTA_19_HOMBRES,-27747,19,19,19,Hombres,19-19,GUERRERO
12,LISTA_19_MUJERES,30008,19,19,19,Mujeres,19-19,GUERRERO
12,LISTA_19_NOBINARIO,0,19,19,19,No binario,19-19,GUERRERO
12,LISTA_20_24_HOMBRES,-158868,2024,20,24,Hombres,20-24,GUERRERO
12,LISTA_20_24_MUJERES,168110,2024,20,24,Mujeres,20-24,GUERRERO
12,LISTA_20_24_NOBINARIO,0,2024,20,24,No binario,20-24,GUERRERO
12,LISTA_25_29_HOMBRES,-159922,2529,25,29,Hombres,25-29,GUERRERO
12,LISTA_25_29_MUJERES,167143,2529,25,29,Mujeres,25-29,GUERRERO
12,LISTA_25_29_NOBINARIO,0,2529,25,29,No binario,25-29,GUERRERO
12,LISTA_30_34_HOMBRES,-137230,3034,30,34,Hombres,30-34,GUERRERO
12,LISTA_30_34_MUJERES,152908,3034,30,34,Mujeres,30-34,GUERRERO
12,LISTA_30_34_NOBINARIO,0,3034,30,34,No binario,30-34,GUERRERO
12,LISTA_35_39_HOMBRES,-122692,3539,35,39,Hombres,35-39,GUERRERO
12,LISTA_35_39_MUJERES,136076,3539,35,39,Mujeres,35-39,GUERRERO
12,LISTA_35_39_NOBINARIO,0,3539,35,39,No binario,35-39,GUERRERO
12,LISTA_40_44_HOMBRES,-113502,4044,40,44,Hombres,40-44,GUERRERO
12,LISTA_40_44_MUJERES,124827,4044,40,44,Mujeres,40-44,GUERRERO
12,LISTA_40_44_NOBINARIO,0,4044,40,44,No binario,40-44,GUERRERO
12,LISTA_45_49_HOMBRES,-107073,4549,45,49,Hombres,45-49,GUERRERO
12,LISTA_45_49_MUJERES,118403,4549,45,49,Mujeres,45-49,GUERRERO
12,LISTA_45_49_NOBINARIO,0,4549,45,49,No binario,45-49,GUERRERO
12,LISTA_50_54_HOMBRES,-96039,5054,50,54,Hombres,50-54,GUERRERO
12,LISTA_50_54_MUJERES,107810,5054,50,54,Mujeres,50-54,GUERRERO
12,LISTA_50_54_NOBINARIO,0,5054,50,54,No binario,50-54,GUERRERO
12,LISTA_55_59_HOMBRES,-82244,5559,55,59,Hombres,55-59,GUERRERO
12,LISTA_55_59_MUJERES,94100,5559,55,59,Mujeres,55-59,GUERRERO
12,LISTA_55_59_NOBINARIO,0,5559,55,59,No binario,55-59,GUERRERO
12,LISTA_60_64_HOMBRES,-71557,6064,60,64,Hombres,60-64,GUERRERO
12,LISTA_60_64_MUJERES,82470,6064,60,64,Mujeres,60-64,GUERRERO
12,LISTA_60_64_NOBINARIO,0,6064,60,64,No binario,60-64,GUERRERO
12,LISTA_65_Y_MAS_HOMBRES,-180085,65,65,100,Hombres,65-100,GUERRERO
12,LISTA_65_Y_MAS_MUJERES,213282,65,65,100,Mujeres,65-100,GUERRERO
12,LISTA_65_Y_MAS_NOBINARIO,0,65,65,100,No binario,65-100,GUERRERO
13,LISTA_18_HOMBRES,-18506,18,18,18,Hombres,18-18,HIDALGO
13,LISTA_18_MUJERES,19376,18,18,18,Mujeres,18-18,HIDALGO
13,LISTA_18_NOBINARIO,0,18,18,18,No binario,18-18,HIDALGO
13,LISTA_19_HOMBRES,-26284,19,19,19,Hombres,19-19,HIDALGO
13,LISTA_19_MUJERES,26949,19,19,19,Mujeres,19-19,HIDALGO
13,LISTA_19_NOBINARIO,0,19,19,19,No binario,19-19,HIDALGO
13,LISTA_20_24_HOMBRES,-138010,2024,20,24,Hombres,20-24,HIDALGO
13,LISTA_20_24_MUJERES,139748,2024,20,24,Mujeres,20-24,HIDALGO
13,LISTA_20_24_NOBINARIO,1,2024,20,24,No binario,20-24,HIDALGO
13,LISTA_25_29_HOMBRES,-128557,2529,25,29,Hombres,25-29,HIDALGO
13,LISTA_25_29_MUJERES,131951,2529,25,29,Mujeres,25-29,HIDALGO
13,LISTA_25_29_NOBINARIO,0,2529,25,29,No binario,25-29,HIDALGO
13,LISTA_30_34_HOMBRES,-120323,3034,30,34,Hombres,30-34,HIDALGO
13,LISTA_30_34_MUJERES,134720,3034,30,34,Mujeres,30-34,HIDALGO
13,LISTA_30_34_NOBINARIO,0,3034,30,34,No binario,30-34,HIDALGO
13,LISTA_35_39_HOMBRES,-111543,3539,35,39,Hombres,35-39,HIDALGO
13,LISTA_35_39_MUJERES,127880,3539,35,39,Mujeres,35-39,HIDALGO
13,LISTA_35_39_NOBINARIO,0,3539,35,39,No binario,35-39,HIDALGO
13,LISTA_40_44_HOMBRES,-107944,4044,40,44,Hombres,40-44,HIDALGO
13,LISTA_40_44_MUJERES,124216,4044,40,44,Mujeres,40-44,HIDALGO
13,LISTA_40_44_NOBINARIO,0,4044,40,44,No binario,40-44,HIDALGO
13,LISTA_45_49_HOMBRES,-102378,4549,45,49,Hombres,45-49,HIDALGO
13,LISTA_45_49_MUJERES,117006,4549,45,49,Mujeres,45-49,HIDALGO
13,LISTA_45_49_NOBINARIO,0,4549,45,49,No binario,45-49,HIDALGO
13,LISTA_50_54_HOMBRES,-93154,5054,50,54,Hombres,50-54,HIDALGO
13,LISTA_50_54_MUJERES,106397,5054,50,54,Mujeres,50-54,HIDALGO
13,LISTA_50_54_NOBINARIO,0,5054,50,54,No binario,50-54,HIDALGO
13,LISTA_55_59_HOMBRES,-76788,5559,55,59,Hombres,55-59,HIDALGO
13,LISTA_55_59_MUJERES,89311,5559,55,59,Mujeres,55-59,HIDALGO
13,LISTA_55_59_NOBINARIO,0,5559,55,59,No binario,55-59,HIDALGO
13,LISTA_60_64_HOMBRES,-64441,6064,60,64,Hombres,60-64,HIDALGO
13,LISTA_60_64_MUJERES,74809,6064,60,64,Mujeres,60-64,HIDALGO
13,LISTA_60_64_NOBINARIO,0,6064,60,64,No binario,60-64,HIDALGO
13,LISTA_65_Y_MAS_HOMBRES,-147694,65,65,100,Hombres,65-100,HIDALGO
13,LISTA_65_Y_MAS_MUJERES,175625,65,65,100,Mujeres,65-100,HIDALGO
13,LISTA_65_Y_MAS_NOBINARIO,0,65,65,100,No binario,65-100,HIDALGO
14,LISTA_18_HOMBRES,-49870,18,18,18,Hombres,18-18,JALISCO
14,LISTA_18_MUJERES,50177,18,18,18,Mujeres,18-18,JALISCO
14,LISTA_18_NOBINARIO,2,18,18,18,No binario,18-18,JALISCO
14,LISTA_19_HOMBRES,-69732,19,19,19,Hombres,19-19,JALISCO
14,LISTA_19_MUJERES,70160,19,19,19,Mujeres,19-19,JALISCO
14,LISTA_19_NOBINARIO,2,19,19,19,No binario,19-19,JALISCO
14,LISTA_20_24_HOMBRES,-381448,2024,20,24,Hombres,20-24,JALISCO
14,LISTA_20_24_MUJERES,380277,2024,20,24,Mujeres,20-24,JALISCO
14,LISTA_20_24_NOBINARIO,11,2024,20,24,No binario,20-24,JALISCO
14,LISTA_25_29_HOMBRES,-377769,2529,25,29,Hombres,25-29,JALISCO
14,LISTA_25_29_MUJERES,371305,2529,25,29,Mujeres,25-29,JALISCO
14,LISTA_25_29_NOBINARIO,4,2529,25,29,No binario,25-29,JALISCO
14,LISTA_30_34_HOMBRES,-358318,3034,30,34,Hombres,30-34,JALISCO
14,LISTA_30_34_MUJERES,359833,3034,30,34,Mujeres,30-34,JALISCO
14,LISTA_30_34_NOBINARIO,3,3034,30,34,No binario,30-34,JALISCO
14,LISTA_35_39_HOMBRES,-334180,3539,35,39,Hombres,35-39,JALISCO
14,LISTA_35_39_MUJERES,341930,3539,35,39,Mujeres,35-39,JALISCO
14,LISTA_35_39_NOBINARIO,2,3539,35,39,No binario,35-39,JALISCO
14,LISTA_40_44_HOMBRES,-309243,4044,40,44,Hombres,40-44,JALISCO
14,LISTA_40_44_MUJERES,320376,4044,40,44,Mujeres,40-44,JALISCO
14,LISTA_40_44_NOBINARIO,1,4044,40,44,No binario,40-44,JALISCO
14,LISTA_45_49_HOMBRES,-283754,4549,45,49,Hombres,45-49,JALISCO
14,LISTA_45_49_MUJERES,301416,4549,45,49,Mujeres,45-49,JALISCO
14,LISTA_45_49_NOBINARIO,0,4549,45,49,No binario,45-49,JALISCO
14,LISTA_50_54_HOMBRES,-269878,5054,50,54,Hombres,50-54,JALISCO
14,LISTA_50_54_MUJERES,289523,5054,50,54,Mujeres,50-54,JALISCO
14,LISTA_50_54_NOBINARIO,0,5054,50,54,No binario,50-54,JALISCO
14,LISTA_55_59_HOMBRES,-221011,5559,55,59,Hombres,55-59,JALISCO
14,LISTA_55_59_MUJERES,246455,5559,55,59,Mujeres,55-59,JALISCO
14,LISTA_55_59_NOBINARIO,0,5559,55,59,No binario,55-59,JALISCO
14,LISTA_60_64_HOMBRES,-184176,6064,60,64,Hombres,60-64,JALISCO
14,LISTA_60_64_MUJERES,208848,6064,60,64,Mujeres,60-64,JALISCO
14,LISTA_60_64_NOBINARIO,0,6064,60,64,No binario,60-64,JALISCO
14,LISTA_65_Y_MAS_HOMBRES,-415612,65,65,100,Hombres,65-100,JALISCO
14,LISTA_65_Y_MAS_MUJERES,499709,65,65,100,Mujeres,65-100,JALISCO
14,LISTA_65_Y_MAS_NOBINARIO,0,65,65,100,No binario,65-100,JALISCO
15,LISTA_18_HOMBRES,-103757,18,18,18,Hombres,18-18,MEXICO
15,LISTA_18_MUJERES,104077,18,18,18,Mujeres,18-18,MEXICO
15,LISTA_18_NOBINARIO,0,18,18,18,No binario,18-18,MEXICO
15,LISTA_19_HOMBRES,-144168,19,19,19,Hombres,19-19,MEXICO
15,LISTA_19_MUJERES,144649,19,19,19,Mujeres,19-19,MEXICO
15,LISTA_19_NOBINARIO,2,19,19,19,No binario,19-19,MEXICO
15,LISTA_20_24_HOMBRES,-777622,2024,20,24,Hombres,20-24,MEXICO
15,LISTA_20_24_MUJERES,775933,2024,20,24,Mujeres,20-24,MEXICO
15,LISTA_20_24_NOBINARIO,0,2024,20,24,No binario,20-24,MEXICO
15,LISTA_25_29_HOMBRES,-738777,2529,25,29,Hombres,25-29,MEXICO
15,LISTA_25_29_MUJERES,738993,2529,25,29,Mujeres,25-29,MEXICO
15,LISTA_25_29_NOBINARIO,1,2529,25,29,No binario,25-29,MEXICO
15,LISTA_30_34_HOMBRES,-707869,3034,30,34,Hombres,30-34,MEXICO
15,LISTA_30_34_MUJERES,745656,3034,30,34,Mujeres,30-34,MEXICO
15,LISTA_30_34_NOBINARIO,0,3034,30,34,No binario,30-34,MEXICO
15,LISTA_35_39_HOMBRES,-631282,3539,35,39,Hombres,35-39,MEXICO
15,LISTA_35_39_MUJERES,685362,3539,35,39,Mujeres,35-39,MEXICO
15,LISTA_35_39_NOBINARIO,0,3539,35,39,No binario,35-39,MEXICO
15,LISTA_40_44_HOMBRES,-593645,4044,40,44,Hombres,40-44,MEXICO
15,LISTA_40_44_MUJERES,663584,4044,40,44,Mujeres,40-44,MEXICO
15,LISTA_40_44_NOBINARIO,1,4044,40,44,No binario,40-44,MEXICO
15,LISTA_45_49_HOMBRES,-561730,4549,45,49,Hombres,45-49,MEXICO
15,LISTA_45_49_MUJERES,641961,4549,45,49,Mujeres,45-49,MEXICO
15,LISTA_45_49_NOBINARIO,0,4549,45,49,No binario,45-49,MEXICO
15,LISTA_50_54_HOMBRES,-522973,5054,50,54,Hombres,50-54,MEXICO
15,LISTA_50_54_MUJERES,604774,5054,50,54,Mujeres,50-54,MEXICO
15,LISTA_50_54_NOBINARIO,0,5054,50,54,No binario,50-54,MEXICO
15,LISTA_55_59_HOMBRES,-424933,5559,55,59,Hombres,55-59,MEXICO
15,LISTA_55_59_MUJERES,499662,5559,55,59,Mujeres,55-59,MEXICO
15,LISTA_55_59_NOBINARIO,0,5559,55,59,No binario,55-59,MEXICO
15,LISTA_60_64_HOMBRES,-342119,6064,60,64,Hombres,60-64,MEXICO
15,LISTA_60_64_MUJERES,409242,6064,60,64,Mujeres,60-64,MEXICO
15,LISTA_60_64_NOBINARIO,0,6064,60,64,No binario,60-64,MEXICO
15,LISTA_65_Y_MAS_HOMBRES,-658146,65,65,100,Hombres,65-100,MEXICO
15,LISTA_65_Y_MAS_MUJERES,845090,65,65,100,Mujeres,65-100,MEXICO
15,LISTA_65_Y_MAS_NOBINARIO,0,65,65,100,No binario,65-100,MEXICO
16,LISTA_18_HOMBRES,-23686,18,18,18,Hombres,18-18,MICHOACAN  DE OCAMPO
16,LISTA_18_MUJERES,24087,18,18,18,Mujeres,18-18,MICHOACAN  DE OCAMPO
16,LISTA_18_NOBINARIO,0,18,18,18,No binario,18-18,MICHOACAN  DE OCAMPO
16,LISTA_19_HOMBRES,-36777,19,19,19,Hombres,19-19,MICHOACAN  DE OCAMPO
16,LISTA_19_MUJERES,37929,19,19,19,Mujeres,19-19,MICHOACAN  DE OCAMPO
16,LISTA_19_NOBINARIO,0,19,19,19,No binario,19-19,MICHOACAN  DE OCAMPO
16,LISTA_20_24_HOMBRES,-207256,2024,20,24,Hombres,20-24,MICHOACAN  DE OCAMPO
16,LISTA_20_24_MUJERES,212745,2024,20,24,Mujeres,20-24,MICHOACAN  DE OCAMPO
16,LISTA_20_24_NOBINARIO,0,2024,20,24,No binario,20-24,MICHOACAN  DE OCAMPO
16,LISTA_25_29_HOMBRES,-212255,2529,25,29,Hombres,25-29,MICHOACAN  DE OCAMPO
16,LISTA_25_29_MUJERES,215799,2529,25,29,Mujeres,25-29,MICHOACAN  DE OCAMPO
16,LISTA_25_29_NOBINARIO,0,2529,25,29,No binario,25-29,MICHOACAN  DE OCAMPO
16,LISTA_30_34_HOMBRES,-196934,3034,30,34,Hombres,30-34,MICHOACAN  DE OCAMPO
16,LISTA_30_34_MUJERES,211166,3034,30,34,Mujeres,30-34,MICHOACAN  DE OCAMPO
16,LISTA_30_34_NOBINARIO,0,3034,30,34,No binario,30-34,MICHOACAN  DE OCAMPO
16,LISTA_35_39_HOMBRES,-180626,3539,35,39,Hombres,35-39,MICHOACAN  DE OCAMPO
16,LISTA_35_39_MUJERES,196443,3539,35,39,Mujeres,35-39,MICHOACAN  DE OCAMPO
16,LISTA_35_39_NOBINARIO,0,3539,35,39,No binario,35-39,MICHOACAN  DE OCAMPO
16,LISTA_40_44_HOMBRES,-165960,4044,40,44,Hombres,40-44,MICHOACAN  DE OCAMPO
16,LISTA_40_44_MUJERES,180426,4044,40,44,Mujeres,40-44,MICHOACAN  DE OCAMPO
16,LISTA_40_44_NOBINARIO,0,4044,40,44,No binario,40-44,MICHOACAN  DE OCAMPO
16,LISTA_45_49_HOMBRES,-158333,4549,45,49,Hombres,45-49,MICHOACAN  DE OCAMPO
16,LISTA_45_49_MUJERES,171894,4549,45,49,Mujeres,45-49,MICHOACAN  DE OCAMPO
16,LISTA_45_49_NOBINARIO,0,4549,45,49,No binario,45-49,MICHOACAN  DE OCAMPO
16,LISTA_50_54_HOMBRES,-145956,5054,50,54,Hombres,50-54,MICHOACAN  DE OCAMPO
16,LISTA_50_54_MUJERES,161315,5054,50,54,Mujeres,50-54,MICHOACAN  DE OCAMPO
16,LISTA_50_54_NOBINARIO,0,5054,50,54,No binario,50-54,MICHOACAN  DE OCAMPO
16,LISTA_55_59_HOMBRES,-124843,5559,55,59,Hombres,55-59,MICHOACAN  DE OCAMPO
16,LISTA_55_59_MUJERES,142468,5559,55,59,Mujeres,55-59,MICHOACAN  DE OCAMPO
16,LISTA_55_59_NOBINARIO,0,5559,55,59,No binario,55-59,MICHOACAN  DE OCAMPO
16,LISTA_60_64_HOMBRES,-108979,6064,60,64,Hombres,60-64,MICHOACAN  DE OCAMPO
16,LISTA_60_64_MUJERES,124294,6064,60,64,Mujeres,60-64,MICHOACAN  DE OCAMPO
16,LISTA_60_64_NOBINARIO,0,6064,60,64,No binario,60-64,MICHOACAN  DE OCAMPO
16,LISTA_65_Y_MAS_HOMBRES,-268706,65,65,100,Hombres,65-100,MICHOACAN  DE OCAMPO
16,LISTA_65_Y_MAS_MUJERES,308418,65,65,100,Mujeres,65-100,MICHOACAN  DE OCAMPO
16,LISTA_65_Y_MAS_NOBINARIO,0,65,65,100,No binario,65-100,MICHOACAN  DE OCAMPO
17,LISTA_18_HOMBRES,-11090,18,18,18,Hombres,18-18,MORELOS
17,LISTA_18_MUJERES,11326,18,18,18,Mujeres,18-18,MORELOS
17,LISTA_18_NOBINARIO,0,18,18,18,No binario,18-18,MORELOS
17,LISTA_19_HOMBRES,-16076,19,19,19,Hombres,19-19,MORELOS
17,LISTA_19_MUJERES,16255,19,19,19,Mujeres,19-19,MORELOS
17,LISTA_19_NOBINARIO,0,19,19,19,No binario,19-19,MORELOS
17,LISTA_20_24_HOMBRES,-85416,2024,20,24,Hombres,20-24,MORELOS
17,LISTA_20_24_MUJERES,86491,2024,20,24,Mujeres,20-24,MORELOS
17,LISTA_20_24_NOBINARIO,0,2024,20,24,No binario,20-24,MORELOS
17,LISTA_25_29_HOMBRES,-84782,2529,25,29,Hombres,25-29,MORELOS
17,LISTA_25_29_MUJERES,87030,2529,25,29,Mujeres,25-29,MORELOS
17,LISTA_25_29_NOBINARIO,0,2529,25,29,No binario,25-29,MORELOS
17,LISTA_30_34_HOMBRES,-80668,3034,30,34,Hombres,30-34,MORELOS
17,LISTA_30_34_MUJERES,86469,3034,30,34,Mujeres,30-34,MORELOS
17,LISTA_30_34_NOBINARIO,0,3034,30,34,No binario,30-34,MORELOS
17,LISTA_35_39_HOMBRES,-72491,3539,35,39,Hombres,35-39,MORELOS
17,LISTA_35_39_MUJERES,79257,3539,35,39,Mujeres,35-39,MORELOS
17,LISTA_35_39_NOBINARIO,0,3539,35,39,No binario,35-39,MORELOS
17,LISTA_40_44_HOMBRES,-66977,4044,40,44,Hombres,40-44,MORELOS
