estado,voto,genero,edad,ponderado,partido,encuesta,inverso,homo_pon
8,2,2,23,0.45497100005745206,PAN-PRI-PRD,2,2.1979422861538946,139767.93465517033
2,2,2,35,0.5214441514450278,PAN-PRI-PRD,2,1.9177509177709573,121950.46550969199
20,2,2,48,1.100371938753226,PAN-PRI-PRD,2,0.9087836255921319,57789.87519263566
13,2,1,47,2.220398939785173,PAN-PRI-PRD,2,0.4503695178744552,28639.158426269078
7,2,1,52,1.5207073577121544,PAN-PRI-PRD,2,0.6575887168090391,41816.30126502229
24,2,1,39,0.7012470404344406,PAN-PRI-PRD,2,1.4260309738782986,90681.81873057404
9,2,2,55,0.7840982914611817,PAN-PRI-PRD,2,1.2753503111663227,81099.98159481467
2,2,1,18,2.354082301825943,PAN-PRI-PRD,2,0.4247939841459028,27012.80110585073
24,2,2,32,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081
23,1,2,27,0.6325764682109873,MORENA-PT-Partido Verde,2,1.5808365474424564,100525.96042004167
8,1,2,27,0.49211205244926565,MORENA-PT-Partido Verde,2,2.0320575263762617,129219.26355905154
20,1,2,32,0.9259251161066312,MORENA-PT-Partido Verde,2,1.0800009445740515,68677.64563231081
28,1,2,45,0.5734518885405548,MORENA-PT-Partido Verde,2,1.7438254542068343,110890.48318921059
9,2,1,72,0.28982496054923895,PAN-PRI-PRD,2,3.4503584443000657,219409.52527180267
14,2,1,53,1.5207073577121544,PAN-PRI-PRD,2,0.6575887168090391,41816.30126502229
18,2,2,18,1.3438616160233574,PAN-PRI-PRD,2,0.7441242372552586,47319.125903899774
30,2,1,42,0.8397506052671342,PAN-PRI-PRD,2,1.1908297460314288,75725.28868353557
32,2,1,43,1.6113609878218107,PAN-PRI-PRD,2,0.6205934036865134,39463.75609601111
26,2,1,22,0.7016402178123943,PAN-PRI-PRD,2,1.4252318704276181,90631.00345686052
7,2,2,32,0.9259251161066312,PAN-PRI-PRD,2,1.0800009445740515,68677.64563231081
2,3,2,30,0.9259251161066312,Movimiento Ciudadano,2,1.0800009445740515,68677.64563231081
17,3,2,23,1.3438616160233574,Movimiento Ciudadano,2,0.7441242372552586,47319.125903899774
19,3,2,36,1.7495041149930257,Movimiento Ciudadano,2,0.5715905389590846,36347.64643367584
12,1,1,25,0.8455605029158749,MORENA-PT-Partido Verde,2,1.1826474824114275,75204.97561882225
10,1,1,43,1.0264407229216197,MORENA-PT-Partido Verde,2,0.9742403800519918,61952.29357719403
14,1,1,56,0.4066985779063897,MORENA-PT-Partido Verde,2,2.458823448923323,156357.46093182586
12,1,1,24,0.7016402178123943,MORENA-PT-Partido Verde,2,1.4252318704276181,90631.00345686052
