estado,voto,genero,edad,ponderado,partido,encuesta,homo_pon
20.0,8.0,1.0,59.0,98796.31179120672,Ninguno,3,105936.64031293873
32.0,2.0,1.0,55.0,41737.40383193307,MORENA-PT-Partido Verde,3,44753.90080030192
32.0,2.0,1.0,52.0,41737.40383193307,MORENA-PT-Partido Verde,3,44753.90080030192
32.0,2.0,1.0,65.0,30429.879069306724,MORENA-PT-Partido Verde,3,32629.144704754923
7.0,2.0,1.0,61.0,17861.584872305055,MORENA-PT-Partido Verde,3,19152.499296080216
7.0,1.0,1.0,60.0,14227.704483475198,PAN-PRI-PRD,3,15255.986635716172
7.0,2.0,1.0,60.0,17861.584872305055,MORENA-PT-Partido Verde,3,19152.499296080216
14.0,2.0,1.0,62.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
14.0,2.0,1.0,71.0,16474.173035571024,MORENA-PT-Partido Verde,3,17664.81472517614
14.0,1.0,1.0,50.0,56485.8628198,PAN-PRI-PRD,3,60568.27855024995
19.0,2.0,1.0,62.0,11257.615269760474,MORENA-PT-Partido Verde,3,12071.23948244602
19.0,2.0,1.0,65.0,6739.698393333712,MORENA-PT-Partido Verde,3,7226.798162477881
19.0,8.0,1.0,53.0,28195.749350596507,Ninguno,3,30233.54721601834
20.0,3.0,1.0,63.0,9148.206838208669,Movimiento Ciudadano,3,9809.377291085626
8.0,2.0,1.0,59.0,89427.0292273061,MORENA-PT-Partido Verde,3,95890.20943948816
15.0,2.0,1.0,56.0,53964.743390565745,MORENA-PT-Partido Verde,3,57864.94967775937
9.0,2.0,1.0,53.0,57740.170474939165,MORENA-PT-Partido Verde,3,61913.2390704874
9.0,8.0,1.0,77.0,37762.997984336245,Ninguno,3,40492.251806518536
9.0,2.0,1.0,82.0,26558.850465834064,MORENA-PT-Partido Verde,3,28478.344362391537
9.0,2.0,1.0,76.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
9.0,2.0,1.0,58.0,17500.503786801462,MORENA-PT-Partido Verde,3,18765.321714394377
9.0,2.0,1.0,64.0,14399.191880167054,MORENA-PT-Partido Verde,3,15439.867980395726
16.0,2.0,1.0,56.0,17500.503786801462,MORENA-PT-Partido Verde,3,18765.321714394377
21.0,2.0,1.0,53.0,24269.35931047486,MORENA-PT-Partido Verde,3,26023.384287186287
12.0,2.0,1.0,53.0,114520.62884941393,MORENA-PT-Partido Verde,3,122797.40454756237
12.0,2.0,1.0,53.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
12.0,9.0,1.0,83.0,41671.689021545724,NS,3,44683.43656833798
20.0,2.0,1.0,64.0,16474.173035571024,MORENA-PT-Partido Verde,3,17664.81472517614
21.0,2.0,1.0,60.0,19283.171801228225,MORENA-PT-Partido Verde,3,20676.82890345644
16.0,1.0,1.0,54.0,92621.73863450147,PAN-PRI-PRD,3,99315.81081304612
14.0,3.0,1.0,55.0,13940.28805250774,Movimiento Ciudadano,3,14947.797691054187
15.0,8.0,1.0,62.0,57249.376172331176,Ninguno,3,61386.97347858046
15.0,2.0,1.0,67.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
15.0,1.0,1.0,72.0,70795.28632797883,PAN-PRI-PRD,3,75911.89030850155
14.0,2.0,1.0,58.0,33253.81681840004,MORENA-PT-Partido Verde,3,35657.1775550506
14.0,2.0,1.0,50.0,17500.503786801462,MORENA-PT-Partido Verde,3,18765.321714394377
11.0,1.0,1.0,57.0,77539.84837531376,PAN-PRI-PRD,3,83143.90363696276
11.0,1.0,1.0,73.0,386925.2657890303,PAN-PRI-PRD,3,414889.604345827
25.0,1.0,1.0,55.0,54327.58810855964,PAN-PRI-PRD,3,58254.01835535134
14.0,2.0,1.0,62.0,17500.503786801462,MORENA-PT-Partido Verde,3,18765.321714394377
14.0,2.0,1.0,50.0,30802.291114374882,MORENA-PT-Partido Verde,3,33028.47217104707
9.0,2.0,1.0,72.0,41271.431525359534,MORENA-PT-Partido Verde,3,44254.25117024696
9.0,2.0,1.0,59.0,12814.514388284812,MORENA-PT-Partido Verde,3,13740.660728364675
15.0,2.0,1.0,58.0,12814.514388284812,MORENA-PT-Partido Verde,3,13740.660728364675
30.0,2.0,1.0,67.0,16814.07823801121,MORENA-PT-Partido Verde,3,18029.2859743408
15.0,1.0,1.0,64.0,25567.342820389153,PAN-PRI-PRD,3,27415.177257277246
30.0,9.0,1.0,56.0,19834.704726734,NS,3,21268.22289469699
30.0,2.0,1.0,65.0,16474.173035571024,MORENA-PT-Partido Verde,3,17664.81472517614
30.0,2.0,1.0,61.0,17861.584872305055,MORENA-PT-Partido Verde,3,19152.499296080216
30.0,2.0,1.0,62.0,18893.352607930567,MORENA-PT-Partido Verde,3,20258.836218114826
15.0,2.0,1.0,83.0,16474.173035571024,MORENA-PT-Partido Verde,3,17664.81472517614
15.0,8.0,1.0,65.0,100103.56066969088,Ninguno,3,107338.36828970916
29.0,2.0,1.0,60.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
29.0,1.0,1.0,60.0,38198.92836718932,PAN-PRI-PRD,3,40959.688286003584
17.0,1.0,1.0,77.0,186801.68340828485,PAN-PRI-PRD,3,200302.44435537967
11.0,2.0,1.0,69.0,31148.227821999302,MORENA-PT-Partido Verde,3,33399.41084175474
11.0,1.0,1.0,65.0,184742.3503287795,PAN-PRI-PRD,3,198094.27662347947
4.0,2.0,1.0,53.0,22585.753950355436,MORENA-PT-Partido Verde,3,24218.0993303871
31.0,9.0,1.0,62.0,51603.13527044656,NS,3,55332.66051184489
20.0,2.0,1.0,57.0,17213.28192185949,MORENA-PT-Partido Verde,3,18457.341397672903
19.0,2.0,1.0,50.0,30478.666027710224,MORENA-PT-Partido Verde,3,32681.457654202637
15.0,1.0,1.0,50.0,126982.50739118012,PAN-PRI-PRD,3,136159.94329792203
2.0,3.0,1.0,52.0,47443.55975043063,Movimiento Ciudadano,3,50872.45903540017
14.0,2.0,1.0,57.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
14.0,2.0,1.0,58.0,15492.35253443781,MORENA-PT-Partido Verde,3,16612.03488557816
14.0,2.0,1.0,86.0,31746.643799941867,MORENA-PT-Partido Verde,3,34041.0762750433
2.0,2.0,1.0,56.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
17.0,2.0,1.0,60.0,17596.583849459676,MORENA-PT-Partido Verde,3,18868.345793477194
17.0,1.0,1.0,53.0,48728.280916740565,PAN-PRI-PRD,3,52250.03114948296
14.0,1.0,1.0,62.0,194067.17541993532,PAN-PRI-PRD,3,208093.03693905193
5.0,2.0,1.0,53.0,40222.50567246819,MORENA-PT-Partido Verde,3,43129.516058398556
5.0,1.0,1.0,54.0,124415.49097373625,PAN-PRI-PRD,3,133407.40031365686
30.0,2.0,1.0,63.0,27516.103028489364,MORENA-PT-Partido Verde,3,29504.780659254182
8.0,2.0,1.0,52.0,17213.28192185949,MORENA-PT-Partido Verde,3,18457.341397672903
16.0,2.0,1.0,52.0,17213.28192185949,MORENA-PT-Partido Verde,3,18457.341397672903
2.0,2.0,1.0,53.0,17213.28192185949,MORENA-PT-Partido Verde,3,18457.341397672903
2.0,2.0,1.0,53.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
20.0,2.0,1.0,62.0,21594.10503440618,MORENA-PT-Partido Verde,3,23154.780744692875
14.0,2.0,1.0,84.0,78319.92995410037,MORENA-PT-Partido Verde,3,83980.36423076827
19.0,1.0,1.0,70.0,124888.85550718325,PAN-PRI-PRD,3,133914.97643069507
19.0,1.0,1.0,64.0,91101.61162393905,PAN-PRI-PRD,3,97685.81931408949
19.0,3.0,1.0,64.0,59429.43636061072,Movimiento Ciudadano,3,63724.593657301375
19.0,3.0,1.0,62.0,55910.51681651047,Movimiento Ciudadano,3,59951.35043318845
19.0,1.0,1.0,50.0,89599.55386236064,PAN-PRI-PRD,3,96075.20298709668
19.0,2.0,1.0,73.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
26.0,1.0,1.0,66.0,50121.27270006319,PAN-PRI-PRD,3,53743.69894773636
12.0,2.0,1.0,63.0,143363.9905698047,MORENA-PT-Partido Verde,3,153725.36917084278
12.0,2.0,1.0,80.0,22129.171367588304,MORENA-PT-Partido Verde,3,23728.518049802708
12.0,2.0,1.0,60.0,207478.80277959746,MORENA-PT-Partido Verde,3,222473.96592164732
16.0,3.0,1.0,54.0,40817.0880810628,Movimiento Ciudadano,3,43767.07085790164
16.0,1.0,1.0,66.0,91101.61162393905,PAN-PRI-PRD,3,97685.81931408949
21.0,1.0,1.0,51.0,38198.92836718932,PAN-PRI-PRD,3,40959.688286003584
21.0,2.0,1.0,50.0,23992.83239786975,MORENA-PT-Partido Verde,3,25726.87188154705
