estado,voto,genero,edad,ponderado,homo_pon,partido
4,7,1,50,161681.48321235817,164757.56307368926,MORENA-PT-Partido Verde
4,7,2,29,178882.9017051551,182286.24809052297,MORENA-PT-Partido Verde
4,7,2,38,165582.80348049226,168733.10812298555,MORENA-PT-Partido Verde
4,7,1,39,127160.28983077264,129579.58484797452,MORENA-PT-Partido Verde
4,7,2,30,169547.15728847525,172772.8859601748,MORENA-PT-Partido Verde
4,7,1,68,213924.17353498485,217994.19954531384,MORENA-PT-Partido Verde
4,7,2,23,151459.37417583942,154340.97274517085,MORENA-PT-Partido Verde
4,7,1,20,197058.53610117815,200807.68400828922,MORENA-PT-Partido Verde
4,7,2,71,266640.1451524288,271713.12175079726,MORENA-PT-Partido Verde
17,1,1,66,462531.18399759894,471331.09622047184,PAN-PRI-PRD
17,99,1,41,213968.24498983598,218039.10948402862,
17,99,2,48,235807.32867742568,240293.6938473085,
17,4,2,19,122196.1077765003,124520.95647776213,MORENA-PT-Partido Verde
17,2,2,61,319481.3295792031,325559.6390087319,PAN-PRI-PRD
17,1,1,25,461329.2521305524,470106.29693325167,PAN-PRI-PRD
17,7,1,18,97460.89448790101,99315.14204207383,MORENA-PT-Partido Verde
17,1,2,44,315093.3077518529,321088.132633207,PAN-PRI-PRD
17,7,1,46,214189.69850052576,218264.7762705427,MORENA-PT-Partido Verde
17,2,2,29,484540.70872572187,493759.3643595809,PAN-PRI-PRD
17,7,1,18,97460.89448790101,99315.14204207383,MORENA-PT-Partido Verde
15,7,2,65,33407.18735122158,34042.777612969956,MORENA-PT-Partido Verde
15,7,1,40,20237.56994741166,20622.60093624634,MORENA-PT-Partido Verde
15,95,1,62,30941.392377838823,31530.06952307507,Ninguno
15,2,1,51,24303.05712581242,24765.436262298324,PAN-PRI-PRD
15,2,2,50,36008.43244871581,36693.51284068694,PAN-PRI-PRD
15,3,1,24,36045.91557727487,36731.709106549104,PAN-PRI-PRD
15,95,2,49,16434.816502124173,16747.497998251074,Ninguno
15,7,1,33,24327.51674972727,24790.36124411963,MORENA-PT-Partido Verde
15,2,2,34,31961.837371881375,32569.92904890818,PAN-PRI-PRD
15,7,2,24,15151.810154209514,15440.081743213055,MORENA-PT-Partido Verde
9,7,1,29,23764.372685903654,24216.503052250315,MORENA-PT-Partido Verde
