columnas,genero,indice_gap,min,max,estado,total
_35_39_MUJERES,2,3539,35,39,9,401061
_35_39_NOBINARIO,9,3539,35,39,9,2
_40_44_HOMBRES,1,4044,40,44,9,362064
_40_44_MUJERES,2,4044,40,44,9,389229
_40_44_NOBINARIO,9,4044,40,44,9,0
_45_49_HOMBRES,1,4549,45,49,9,345436
_45_49_MUJERES,2,4549,45,49,9,384030
_45_49_NOBINARIO,9,4549,45,49,9,2
_50_54_HOMBRES,1,5054,50,54,9,344332
_50_54_MUJERES,2,5054,50,54,9,393799
_50_54_NOBINARIO,9,5054,50,54,9,0
_55_59_HOMBRES,1,5559,55,59,9,288802
_55_59_MUJERES,2,5559,55,59,9,342092
_55_59_NOBINARIO,9,5559,55,59,9,0
_60_64_HOMBRES,1,6064,60,64,9,249591
_60_64_MUJERES,2,6064,60,64,9,306721
_60_64_NOBINARIO,9,6064,60,64,9,0
_65_Y_MAS_HOMBRES,1,65,65,100,9,528840
_65_Y_MAS_MUJERES,2,65,65,100,9,745687
_65_Y_MAS_NOBINARIO,9,65,65,100,9,0
_18_HOMBRES,1,18,18,18,10,10988
_18_MUJERES,2,18,18,18,10,10838
_18_NOBINARIO,9,18,18,18,10,0
_19_HOMBRES,1,19,19,19,10,15049
_19_MUJERES,2,19,19,19,10,15063
_19_NOBINARIO,9,19,19,19,10,0
_20_24_HOMBRES,1,2024,20,24,10,82270
_20_24_MUJERES,2,2024,20,24,10,82521
_20_24_NOBINARIO,9,2024,20,24,10,0
_25_29_HOMBRES,1,2529,25,29,10,81312
_25_29_MUJERES,2,2529,25,29,10,80485
_25_29_NOBINARIO,9,2529,25,29,10,0
_30_34_HOMBRES,1,3034,30,34,10,74183
_30_34_MUJERES,2,3034,30,34,10,76904
_30_34_NOBINARIO,9,3034,30,34,10,0
_35_39_HOMBRES,1,3539,35,39,10,67767
_35_39_MUJERES,2,3539,35,39,10,70537
_35_39_NOBINARIO,9,3539,35,39,10,0
_40_44_HOMBRES,1,4044,40,44,10,63018
_40_44_MUJERES,2,4044,40,44,10,65462
_40_44_NOBINARIO,9,4044,40,44,10,0
_45_49_HOMBRES,1,4549,45,49,10,62589
_45_49_MUJERES,2,4549,45,49,10,65570
_45_49_NOBINARIO,9,4549,45,49,10,0
_50_54_HOMBRES,1,5054,50,54,10,58717
_50_54_MUJERES,2,5054,50,54,10,62292
_50_54_NOBINARIO,9,5054,50,54,10,0
_55_59_HOMBRES,1,5559,55,59,10,50771
_55_59_MUJERES,2,5559,55,59,10,55116
_55_59_NOBINARIO,9,5559,55,59,10,0
_60_64_HOMBRES,1,6064,60,64,10,42914
_60_64_MUJERES,2,6064,60,64,10,46813
_60_64_NOBINARIO,9,6064,60,64,10,0
_65_Y_MAS_HOMBRES,1,65,65,100,10,96380
_65_Y_MAS_MUJERES,2,65,65,100,10,106783
_65_Y_MAS_NOBINARIO,9,65,65,100,10,0
_18_HOMBRES,1,18,18,18,11,36813
_18_MUJERES,2,18,18,18,11,37990
_18_NOBINARIO,9,18,18,18,11,0
_19_HOMBRES,1,19,19,19,11,52544
_19_MUJERES,2,19,19,19,11,54417
_19_NOBINARIO,9,19,19,19,11,1
_20_24_HOMBRES,1,2024,20,24,11,290106
_20_24_MUJERES,2,2024,20,24,11,295500
_20_24_NOBINARIO,9,2024,20,24,11,0
_25_29_HOMBRES,1,2529,25,29,11,290166
_25_29_MUJERES,2,2529,25,29,11,291697
_25_29_NOBINARIO,9,2529,25,29,11,1
_30_34_HOMBRES,1,3034,30,34,11,266364
_30_34_MUJERES,2,3034,30,34,11,283629
_30_34_NOBINARIO,9,3034,30,34,11,1
_35_39_HOMBRES,1,3539,35,39,11,242194
_35_39_MUJERES,2,3539,35,39,11,261852
_35_39_NOBINARIO,9,3539,35,39,11,0
_40_44_HOMBRES,1,4044,40,44,11,225437
_40_44_MUJERES,2,4044,40,44,11,246187
_40_44_NOBINARIO,9,4044,40,44,11,0
_45_49_HOMBRES,1,4549,45,49,11,211954
_45_49_MUJERES,2,4549,45,49,11,233860
_45_49_NOBINARIO,9,4549,45,49,11,0
_50_54_HOMBRES,1,5054,50,54,11,191512
_50_54_MUJERES,2,5054,50,54,11,213467
_50_54_NOBINARIO,9,5054,50,54,11,0
_55_59_HOMBRES,1,5559,55,59,11,158670
_55_59_MUJERES,2,5559,55,59,11,180461
_55_59_NOBINARIO,9,5559,55,59,11,0
_60_64_HOMBRES,1,6064,60,64,11,129597
_60_64_MUJERES,2,6064,60,64,11,148470
_60_64_NOBINARIO,9,6064,60,64,11,0
_65_Y_MAS_HOMBRES,1,65,65,100,11,281966
_65_Y_MAS_MUJERES,2,65,65,100,11,333949
_65_Y_MAS_NOBINARIO,9,65,65,100,11,0
_18_HOMBRES,1,18,18,18,12,16366
_18_MUJERES,2,18,18,18,12,17872
_18_NOBINARIO,9,18,18,18,12,0
_19_HOMBRES,1,19,19,19,12,28000
_19_MUJERES,2,19,19,19,12,30147
_19_NOBINARIO,9,19,19,19,12,0
_20_24_HOMBRES,1,2024,20,24,12,160264
_20_24_MUJERES,2,2024,20,24,12,169029
_20_24_NOBINARIO,9,2024,20,24,12,0
_25_29_HOMBRES,1,2529,25,29,12,162033
_25_29_MUJERES,2,2529,25,29,12,168569
_25_29_NOBINARIO,9,2529,25,29,12,0
_30_34_HOMBRES,1,3034,30,34,12,140418
_30_34_MUJERES,2,3034,30,34,12,155123
_30_34_NOBINARIO,9,3034,30,34,12,0
_35_39_HOMBRES,1,3539,35,39,12,127489
_35_39_MUJERES,2,3539,35,39,12,139883
_35_39_NOBINARIO,9,3539,35,39,12,0
_40_44_HOMBRES,1,4044,40,44,12,119304
_40_44_MUJERES,2,4044,40,44,12,129915
_40_44_NOBINARIO,9,4044,40,44,12,0
_45_49_HOMBRES,1,4549,45,49,12,112650
_45_49_MUJERES,2,4549,45,49,12,123548
_45_49_NOBINARIO,9,4549,45,49,12,0
_50_54_HOMBRES,1,5054,50,54,12,100395
_50_54_MUJERES,2,5054,50,54,12,111895
_50_54_NOBINARIO,9,5054,50,54,12,0
_55_59_HOMBRES,1,5559,55,59,12,85239
_55_59_MUJERES,2,5559,55,59,12,96796
_55_59_NOBINARIO,9,5559,55,59,12,0
_60_64_HOMBRES,1,6064,60,64,12,73290
_60_64_MUJERES,2,6064,60,64,12,84019
_60_64_NOBINARIO,9,6064,60,64,12,0
_65_Y_MAS_HOMBRES,1,65,65,100,12,181769
_65_Y_MAS_MUJERES,2,65,65,100,12,214917
_65_Y_MAS_NOBINARIO,9,65,65,100,12,0
_18_HOMBRES,1,18,18,18,13,18576
_18_MUJERES,2,18,18,18,13,19421
_18_NOBINARIO,9,18,18,18,13,0
_19_HOMBRES,1,19,19,19,13,26382
_19_MUJERES,2,19,19,19,13,27012
_19_NOBINARIO,9,19,19,19,13,0
_20_24_HOMBRES,1,2024,20,24,13,138566
_20_24_MUJERES,2,2024,20,24,13,140077
_20_24_NOBINARIO,9,2024,20,24,13,1
_25_29_HOMBRES,1,2529,25,29,13,129449
_25_29_MUJERES,2,2529,25,29,13,132407
_25_29_NOBINARIO,9,2529,25,29,13,0
_30_34_HOMBRES,1,3034,30,34,13,121989
_30_34_MUJERES,2,3034,30,34,13,135450
_30_34_NOBINARIO,9,3034,30,34,13,0
_35_39_HOMBRES,1,3539,35,39,13,114131
_35_39_MUJERES,2,3539,35,39,13,129156
_35_39_NOBINARIO,9,3539,35,39,13,0
_40_44_HOMBRES,1,4044,40,44,13,111050
_40_44_MUJERES,2,4044,40,44,13,126094
_40_44_NOBINARIO,9,4044,40,44,13,0
_45_49_HOMBRES,1,4549,45,49,13,105249
_45_49_MUJERES,2,4549,45,49,13,118779
_45_49_NOBINARIO,9,4549,45,49,13,0
_50_54_HOMBRES,1,5054,50,54,13,95141
_50_54_MUJERES,2,5054,50,54,13,107611
_50_54_NOBINARIO,9,5054,50,54,13,0
