"estado","columnas","total","digitos","min","max","genero"
15,"LISTA_55_59_HOMBRES",424933,"5559","55","59",1
15,"LISTA_55_59_MUJERES",499662,"5559","55","59",2
15,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
15,"LISTA_60_64_HOMBRES",342119,"6064","60","64",1
15,"LISTA_60_64_MUJERES",409242,"6064","60","64",2
15,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
15,"LISTA_65_Y_MAS_HOMBRES",658146,"65","65","100",1
15,"LISTA_65_Y_MAS_MUJERES",845090,"65","65","100",2
15,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
16,"LISTA_18_HOMBRES",23686,"18","18","18",1
16,"LISTA_18_MUJERES",24087,"18","18","18",2
16,"LISTA_18_NOBINARIO",0,"18","18","18",9
16,"LISTA_19_HOMBRES",36777,"19","19","19",1
16,"LISTA_19_MUJERES",37929,"19","19","19",2
16,"LISTA_19_NOBINARIO",0,"19","19","19",9
16,"LISTA_20_24_HOMBRES",207256,"2024","20","24",1
16,"LISTA_20_24_MUJERES",212745,"2024","20","24",2
16,"LISTA_20_24_NOBINARIO",0,"2024","20","24",9
16,"LISTA_25_29_HOMBRES",212255,"2529","25","29",1
16,"LISTA_25_29_MUJERES",215799,"2529","25","29",2
16,"LISTA_25_29_NOBINARIO",0,"2529","25","29",9
16,"LISTA_30_34_HOMBRES",196934,"3034","30","34",1
16,"LISTA_30_34_MUJERES",211166,"3034","30","34",2
16,"LISTA_30_34_NOBINARIO",0,"3034","30","34",9
16,"LISTA_35_39_HOMBRES",180626,"3539","35","39",1
16,"LISTA_35_39_MUJERES",196443,"3539","35","39",2
16,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
16,"LISTA_40_44_HOMBRES",165960,"4044","40","44",1
16,"LISTA_40_44_MUJERES",180426,"4044","40","44",2
16,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
16,"LISTA_45_49_HOMBRES",158333,"4549","45","49",1
16,"LISTA_45_49_MUJERES",171894,"4549","45","49",2
16,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
16,"LISTA_50_54_HOMBRES",145956,"5054","50","54",1
16,"LISTA_50_54_MUJERES",161315,"5054","50","54",2
16,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
16,"LISTA_55_59_HOMBRES",124843,"5559","55","59",1
16,"LISTA_55_59_MUJERES",142468,"5559","55","59",2
16,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
16,"LISTA_60_64_HOMBRES",108979,"6064","60","64",1
16,"LISTA_60_64_MUJERES",124294,"6064","60","64",2
16,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
16,"LISTA_65_Y_MAS_HOMBRES",268706,"65","65","100",1
16,"LISTA_65_Y_MAS_MUJERES",308418,"65","65","100",2
16,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
17,"LISTA_18_HOMBRES",11090,"18","18","18",1
17,"LISTA_18_MUJERES",11326,"18","18","18",2
17,"LISTA_18_NOBINARIO",0,"18","18","18",9
17,"LISTA_19_HOMBRES",16076,"19","19","19",1
17,"LISTA_19_MUJERES",16255,"19","19","19",2
17,"LISTA_19_NOBINARIO",0,"19","19","19",9
17,"LISTA_20_24_HOMBRES",85416,"2024","20","24",1
17,"LISTA_20_24_MUJERES",86491,"2024","20","24",2
17,"LISTA_20_24_NOBINARIO",0,"2024","20","24",9
17,"LISTA_25_29_HOMBRES",84782,"2529","25","29",1
17,"LISTA_25_29_MUJERES",87030,"2529","25","29",2
17,"LISTA_25_29_NOBINARIO",0,"2529","25","29",9
17,"LISTA_30_34_HOMBRES",80668,"3034","30","34",1
17,"LISTA_30_34_MUJERES",86469,"3034","30","34",2
17,"LISTA_30_34_NOBINARIO",0,"3034","30","34",9
17,"LISTA_35_39_HOMBRES",72491,"3539","35","39",1
17,"LISTA_35_39_MUJERES",79257,"3539","35","39",2
17,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
17,"LISTA_40_44_HOMBRES",66977,"4044","40","44",1
17,"LISTA_40_44_MUJERES",74777,"4044","40","44",2
17,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
17,"LISTA_45_49_HOMBRES",64236,"4549","45","49",1
17,"LISTA_45_49_MUJERES",73736,"4549","45","49",2
17,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
17,"LISTA_50_54_HOMBRES",60883,"5054","50","54",1
17,"LISTA_50_54_MUJERES",70646,"5054","50","54",2
17,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
17,"LISTA_55_59_HOMBRES",51533,"5559","55","59",1
17,"LISTA_55_59_MUJERES",60607,"5559","55","59",2
17,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
17,"LISTA_60_64_HOMBRES",44804,"6064","60","64",1
17,"LISTA_60_64_MUJERES",53222,"6064","60","64",2
17,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
17,"LISTA_65_Y_MAS_HOMBRES",100279,"65","65","100",1
17,"LISTA_65_Y_MAS_MUJERES",123304,"65","65","100",2
17,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
18,"LISTA_18_HOMBRES",6966,"18","18","18",1
18,"LISTA_18_MUJERES",7070,"18","18","18",2
18,"LISTA_18_NOBINARIO",0,"18","18","18",9
18,"LISTA_19_HOMBRES",9911,"19","19","19",1
18,"LISTA_19_MUJERES",9804,"19","19","19",2
18,"LISTA_19_NOBINARIO",0,"19","19","19",9
18,"LISTA_20_24_HOMBRES",52111,"2024","20","24",1
18,"LISTA_20_24_MUJERES",52642,"2024","20","24",2
18,"LISTA_20_24_NOBINARIO",0,"2024","20","24",9
18,"LISTA_25_29_HOMBRES",51928,"2529","25","29",1
18,"LISTA_25_29_MUJERES",50990,"2529","25","29",2
18,"LISTA_25_29_NOBINARIO",3,"2529","25","29",9
18,"LISTA_30_34_HOMBRES",48870,"3034","30","34",1
18,"LISTA_30_34_MUJERES",50260,"3034","30","34",2
18,"LISTA_30_34_NOBINARIO",0,"3034","30","34",9
18,"LISTA_35_39_HOMBRES",46725,"3539","35","39",1
18,"LISTA_35_39_MUJERES",48294,"3539","35","39",2
18,"LISTA_35_39_NOBINARIO",0,"3539","35","39",9
18,"LISTA_40_44_HOMBRES",43264,"4044","40","44",1
18,"LISTA_40_44_MUJERES",44519,"4044","40","44",2
18,"LISTA_40_44_NOBINARIO",0,"4044","40","44",9
18,"LISTA_45_49_HOMBRES",42478,"4549","45","49",1
18,"LISTA_45_49_MUJERES",43674,"4549","45","49",2
18,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
18,"LISTA_50_54_HOMBRES",40113,"5054","50","54",1
18,"LISTA_50_54_MUJERES",40953,"5054","50","54",2
18,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
18,"LISTA_55_59_HOMBRES",33349,"5559","55","59",1
18,"LISTA_55_59_MUJERES",35209,"5559","55","59",2
18,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
18,"LISTA_60_64_HOMBRES",28401,"6064","60","64",1
18,"LISTA_60_64_MUJERES",30491,"6064","60","64",2
18,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
18,"LISTA_65_Y_MAS_HOMBRES",68149,"65","65","100",1
18,"LISTA_65_Y_MAS_MUJERES",75172,"65","65","100",2
18,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
19,"LISTA_18_HOMBRES",35709,"18","18","18",1
19,"LISTA_18_MUJERES",34958,"18","18","18",2
19,"LISTA_18_NOBINARIO",0,"18","18","18",9
19,"LISTA_19_HOMBRES",47229,"19","19","19",1
19,"LISTA_19_MUJERES",45829,"19","19","19",2
19,"LISTA_19_NOBINARIO",2,"19","19","19",9
19,"LISTA_20_24_HOMBRES",261156,"2024","20","24",1
19,"LISTA_20_24_MUJERES",251499,"2024","20","24",2
19,"LISTA_20_24_NOBINARIO",2,"2024","20","24",9
19,"LISTA_25_29_HOMBRES",263965,"2529","25","29",1
19,"LISTA_25_29_MUJERES",248636,"2529","25","29",2
19,"LISTA_25_29_NOBINARIO",0,"2529","25","29",9
19,"LISTA_30_34_HOMBRES",259805,"3034","30","34",1
19,"LISTA_30_34_MUJERES",244144,"3034","30","34",2
19,"LISTA_30_34_NOBINARIO",3,"3034","30","34",9
19,"LISTA_35_39_HOMBRES",228893,"3539","35","39",1
19,"LISTA_35_39_MUJERES",217699,"3539","35","39",2
19,"LISTA_35_39_NOBINARIO",1,"3539","35","39",9
19,"LISTA_40_44_HOMBRES",219249,"4044","40","44",1
19,"LISTA_40_44_MUJERES",212103,"4044","40","44",2
19,"LISTA_40_44_NOBINARIO",1,"4044","40","44",9
19,"LISTA_45_49_HOMBRES",207238,"4549","45","49",1
19,"LISTA_45_49_MUJERES",206263,"4549","45","49",2
19,"LISTA_45_49_NOBINARIO",0,"4549","45","49",9
19,"LISTA_50_54_HOMBRES",194069,"5054","50","54",1
19,"LISTA_50_54_MUJERES",197457,"5054","50","54",2
19,"LISTA_50_54_NOBINARIO",0,"5054","50","54",9
19,"LISTA_55_59_HOMBRES",155793,"5559","55","59",1
19,"LISTA_55_59_MUJERES",163860,"5559","55","59",2
19,"LISTA_55_59_NOBINARIO",0,"5559","55","59",9
19,"LISTA_60_64_HOMBRES",123112,"6064","60","64",1
19,"LISTA_60_64_MUJERES",133394,"6064","60","64",2
19,"LISTA_60_64_NOBINARIO",0,"6064","60","64",9
19,"LISTA_65_Y_MAS_HOMBRES",241006,"65","65","100",1
19,"LISTA_65_Y_MAS_MUJERES",295315,"65","65","100",2
19,"LISTA_65_Y_MAS_NOBINARIO",0,"65","65","100",9
2,"LISTA_18_HOMBRES",23806,"18","18","18",1
2,"LISTA_18_MUJERES",23762,"18","18","18",2
2,"LISTA_18_NOBINARIO",0,"18","18","18",9
2,"LISTA_19_HOMBRES",32681,"19","19","19",1
2,"LISTA_19_MUJERES",31498,"19","19","19",2
2,"LISTA_19_NOBINARIO",0,"19","19","19",9
2,"LISTA_20_24_HOMBRES",180807,"2024","20","24",1
2,"LISTA_20_24_MUJERES",173902,"2024","20","24",2
2,"LISTA_20_24_NOBINARIO",2,"2024","20","24",9
2,"LISTA_25_29_HOMBRES",194407,"2529","25","29",1
